Date,Open,High,Low,Close,Adj Close ,Volume
"Oct 2, 2024",184.44,186.6,184.04,184.76,184.76,"23,664,500"
"Oct 1, 2024",184.9,186.19,183.45,185.13,185.13,"36,044,900"
"Sep 30, 2024",187.14,188.49,184.65,186.33,186.33,"41,583,900"
"Sep 27, 2024",190.68,190.9,187.34,187.97,187.97,"36,002,300"
"Sep 26, 2024",194.31,194.53,189.54,191.16,191.16,"36,334,900"
"Sep 25, 2024",193.75,193.95,192.16,192.53,192.53,"26,391,100"
"Sep 24, 2024",194.27,195.37,190.13,193.96,193.96,"43,478,900"
"Sep 23, 2024",191.64,194.45,190.57,193.88,193.88,"36,993,100"
"Sep 20, 2024",190.23,191.84,187.41,191.6,191.6,"100,378,600"
"Sep 19, 2024",190.04,190.99,188.47,189.87,189.87,"39,543,200"
"Sep 18, 2024",186.45,188.8,185.06,186.43,186.43,"34,448,100"
"Sep 17, 2024",186.85,189.45,186.14,186.88,186.88,"26,091,700"
"Sep 16, 2024",185.29,185.81,183.36,184.89,184.89,"26,065,500"
"Sep 13, 2024",187,188.5,185.91,186.49,186.49,"26,495,400"
"Sep 12, 2024",184.8,187.41,183.54,187,187,"33,622,500"
"Sep 11, 2024",180.1,184.99,175.73,184.52,184.52,"42,564,700"
"Sep 10, 2024",177.49,180.5,176.79,179.55,179.55,"36,233,800"
"Sep 9, 2024",174.53,175.85,173.51,175.4,175.4,"29,037,400"
"Sep 6, 2024",177.24,178.38,171.16,171.39,171.39,"41,466,500"
"Sep 5, 2024",175,179.88,175,177.89,177.89,"40,170,500"
"Sep 4, 2024",174.48,175.98,172.54,173.33,173.33,"30,309,200"
"Sep 3, 2024",177.55,178.26,175.26,176.25,176.25,"37,817,500"
"Aug 30, 2024",172.78,178.9,172.6,178.5,178.5,"43,429,400"
"Aug 29, 2024",173.22,174.29,170.81,172.12,172.12,"26,407,800"
"Aug 28, 2024",173.69,173.69,168.92,170.8,170.8,"29,045,000"
"Aug 27, 2024",174.15,174.89,172.25,173.12,173.12,"29,842,000"
"Aug 26, 2024",176.7,177.47,174.3,175.5,175.5,"22,366,200"
"Aug 23, 2024",177.34,178.97,175.24,177.04,177.04,"29,150,100"
"Aug 22, 2024",181.38,181.47,175.68,176.13,176.13,"32,047,500"
"Aug 21, 2024",179.92,182.39,178.89,180.11,180.11,"35,599,100"
"Aug 20, 2024",177.92,179.01,177.43,178.88,178.88,"26,255,200"
"Aug 19, 2024",177.64,178.3,176.16,178.22,178.22,"31,129,800"
"Aug 16, 2024",177.04,178.34,176.26,177.06,177.06,"31,489,200"
"Aug 15, 2024",174.86,177.91,173.99,177.59,177.59,"51,698,500"
"Aug 14, 2024",172.11,172.28,168.86,170.1,170.1,"28,843,800"
"Aug 13, 2024",167.81,171.04,167.1,170.23,170.23,"39,237,900"
"Aug 12, 2024",168.14,168.55,166.11,166.8,166.8,"30,072,800"
"Aug 9, 2024",166.4,168.55,165.85,166.94,166.94,"36,401,000"
"Aug 8, 2024",165.17,166.69,162.55,165.8,165.8,"44,616,200"
"Aug 7, 2024",166.55,167.58,161.43,162.77,162.77,"48,408,200"
"Aug 6, 2024",161.71,165.08,158.54,161.93,161.93,"59,950,800"
